shame,not prepared contribution group thoroughly members result overall result poor
guilt,father worked house recovered illness rather lazy meant work hard not well later
joy,gave birth son saw alive managed well born month early malfunctioning lung happened year ago
fear,found father lung cancer not know long would live
anger,colleague asked help work despite fact time
sadness,not get salary increase expecting understood little one work appreciated
disgust,weeding garden found lizard hand
shame,met friend not seen long time heard troubles thought got touch earlier
guilt,got angry mother something trivial bad mood father ill knew mother really needed support reacted wrongly
joy,new year eve met girlfriend stood steps outside parents home kissed first time
fear,stopped plain clothes policemen car driving overturned avenue driving fast afraid stopped questionned toild go situation ended happily since no consequences
anger,editor changed heading article written considered heading derogatory towards person written
sadness,close acquaintance family died lung cancer although expected still felt depressed
disgust,saw picture gothenburg post totally demolished car two fatally injured passengers car badly damaged could get bodies scene accident
shame,one night sexual intercourse another man sexual desire curiosity made jump bed ashamed
guilt,due laziness failed term studies completely university wanted extent protest against parents expectations
joy,got loan studies
fear,met intoxicated people dubious intentions back alley one wednesday night
anger,saw news feature south africa policeman attacked group black people whip
sadness,thought read boring book pages english
disgust,grovelling people
shame,inability assert positively group
guilt,experience feelings guilt not study enough
disgust,observing someone cafeteria noisily gulping food extremely bad manners
shame,guess often ashamed talked badly people
guilt,angry unpleasant towards parents
joy,sister history one abortion one stillbirth gave birth perfectly healty boy
fear,sister still born child emotionally deep took long time recover
anger,starting student project teacher talked negative not helpful
sadness,boyfriend openly let preferring another girl
disgust,felt disgust boyfriend time left
shame,ca think
guilt,accident aunt offered front seat car next driver declined took seat killed car crashed
joy,unexpected visit close friend seen half year
fear,wandered mistake safety zone shooting range shot
anger,treated unfairly
sadness,breaking girl
disgust,nothing
shame,none
guilt,little contact father died
joy,accepted student college not thought possible
fear,first arrive scene accident found close school friend killed
anger,accused done something got angry
sadness,grandmother died
disgust,not applicable
joy,couple years ago summer holiday fishing lake husband suddenly started raining sun still shining experienced feeling joy happiness fulfillment whole nature full music
fear,alone home bed reading womens magazine storiees paranormal experiences leg itching stretched hand scratch felt another strange hand later realized corner blanket
anger,went lecture cancelled second time one negative attitude towards lecturer
sadness,heard former superior mine died later home home reading newspaper thought interaction no longer possible limited scope human life sad
disgust,tram fat sickly looking woman front asking directions thick voice got go disgusting smell urine came felt would choke
shame,home husband made remark something done perfectly friendly manner deed unjust knew husband right therefore sense shame
guilt,made remark sister concerning attitude men way talked compared acquaintance mine later evening sister looked sad felt guilty sadness
joy,summer job sweden boyfriend came meet birthday
fear,went practice sweden summer afraid would not well
anger,holiday cottage association two pals came wake early one morning bringing radio played highest volume room morning service loudest
sadness,grandmother died suddenly last summer
disgust,superior summer job swindled customers much could put difficult situation could not detest
shame,arrived two hours late work place bank still feeling feeble tired
guilt,association polish visitors going back boat not go see off chairman association
joy,told quite unexpectedly one wanted become student organisation really surprised joy first emotion felt though behind worry shall succeed
fear,tutorial group soon divided got list names freshmen five group read names group went way seminar room wondered would cope new situation would succeed group leader
anger,disco evening not pleasant despite not knowing why angry companion let feel bad humour not hide feelings
sadness,grandmother died mother called one sunday morning autumn way mother told hated moment sounded waiting death grandmother lost person close felt guilty bad grandmother late not remained calm no longer understood everything well
disgust,underground station drunkard came speak tried ask something not answer began speak companion detested dirty growling man
shame,worried task related studies done groups two talking friends said something negative abrupt manner concerning work partner not quite mean said felt ashamed mean enough criticize friend mine
guilt,told boyfriend not want go relationship knew important wanted free saw difficult remained firm not change mind
joy,last night chat fellow student known half year first time speaking language meaning inspiring discussion encounter
anger,sometimes quarrel mother blames though not way connected events
sadness,hearing death grandfather first could not believe later wept felt situation hopeless felt lonely wanted consolated
disgust,evening watching tv little brother came started eating food brought kitchen trying concentrate program
shame,little brother arrested police railway station drunk beer
guilt,temporary job restrict others actions make obey often gives feeling guilt wish could way acting
joy,met dear friend mine long time expressed feelings usual way mutual scolding abusing complete understanding touching patting taking hand person etc
fear,felt fear purest kind car accident incident images horror kept coming back mind wondered could happened sister friend though nothing serious actually happened
anger,two boys know telling indecent manner teased young shy girl know despised conviction scorned touched got angry not try conceal gave back
sadness,sweetheart left rather decided break off mutual consent consequences unrestrained weeping feelings loneliness hopelessness disconsolation felt find friend talk joyfully forget
disgust,sheer curiosity went see pornographic movie copenhagen room full men panted masturbated disgusting
shame,quarelled unnecessarily without reason stupidly cross every way
shame,not know
guilt,forced fill questionnaire
joy,won tennis match
fear,dog ran thin ice last spring
anger,tennis match interrupted kid cycled right court
joy,celebrations graduation day orchestra playing garden part orchestra
fear,risk involved fight party
anger,heavy work load two colleagues nothing against disturbed terror ringing continously interrupting telephoning
sadness,exam failed
disgust,normally not feel disgusted
shame,overtook car mainroad misjudging distance oncoming car resulted tooting flashing driver could collided acquaintance car
guilt,saw neighbour appartment block lying road could injured ill kept metres away not go help
joy,met old schhol friend school love works
fear,cycling school nearly got knocked car overtook closely not give swerving space
anger,deputy manager summer certain deputies took liberties normal
sadness,realized girlfriend like going separate
disgust,dog dirt thaws spring
shame,forgot mother birthday
guilt,not think anything
joy,passed last exam
fear,nearly knocked car
anger,reached bus stop realized forgotten bus pass
sadness,current work load much feeling comes back time time
disgust,not think situation
joy,one year old son gives spontaneous kiss
fear,someone close travelling car delayed
anger,someone something wrong affects negatively
sadness,think parents getting old
disgust,not remember
guilt,not time people problems sometimes depressed not time desire strength help
joy,asked interested working accounts bureau needed clever people immediately thought
fear,driving deer suddenly appeared front car lot traffic behind
anger,saw report news apartheid south africa
joy,girlfriend became pregnant
fear,nearly collided another car
anger,time someone let air tyres cycle
sadness,read lot not remember anything
guilt,time put dog sleep
sadness,long illness
joy,passed exam
fear,travelling tram tripped fell against door thought going fall
anger,missed tram run
sadness,inability read book college
disgust,guy one not interested makes advances
shame,drink wine often
guilt,not study enough not understand properly
joy,worked lawyer office summer got good reference
fear,watching triller dark night country go outside toilet
anger,accused something not done get unbelievably angry
sadness,began read thick book limited time read lot work not keep
disgust,someone vomited street
shame,not think incident felt ashamed small incidents ashamed instance not sending money children ethiopia
guilt,lunch not mention fiancee felt guilty despite fact felt nothing
joy,finally qualified profession
fear,someone attacked knife
anger,someone drove car denied happened
sadness,told friend wife cancer
disgust,saw dog knocked car
shame,boxed child ears
guilt,fined speeding
joy,stopped working boring job
fear,going home car late one night cold dark windy became rather panicky way house
anger,quarrel family
sadness,alone room no contact anyone loneliness drains
disgust,holiday someone vomited front
shame,emptied bucket water hospital
guilt,feigned sick leave work
joy,get hug someone love
fear,driving fast small road met oncoming car right handed bend driver side road skid avoid collision dark
anger,car towed away traffic police wrongly parked however sign put already parked
sadness,operation stay bed long time
disgust,forced stay canteen eat food not asked got anyway
shame,not buy promised
guilt,mistake took book library not supposed loaned
joy,won unexpected sum money
fear,year old daughter disappeared moment inattention responsible
anger,colleague asked advice not enough confidence asked third person
sadness,wanted pregnant not succeed depressed every menstruation
disgust,warm bus full people someone vomited whole bus stank
shame,complained colleague behaviour goes back word often absent irresponsible found alcoholic trying fight againt addiction
guilt,spoke mother phone skin cancer waiting operated forgot ask date operation finishing conversation gave date
joy,party met old friend adult education course not met years thought lot wonderful experience
fear,cycling park late one night two people jumped woods tried stop shouting something time
anger,close relatives tried dissuade studying psychology low status
sadness,long discussion politics acquaintance knowledgeable failed explain point view misunderstood felt depressed left
disgust,read newspaper article young girl raped assaulted one night several men unconscious
shame,mother revealed personal details negative aspects character people present unable defend
guilt,unfaithful partner working abroad long period
joy,recently got appartment central gottenburg
fear,saw large spider crawling wall
anger,employer took many aspirins bad back drank enormous amount spirit dangerous not understand done anything wrong
sadness,left new york family friends behind
disgust,slept guy best friend wanted never intercourse anyone terrible complex
shame,dated close girlfriend boyfriend times told over accepted found finished friendship
guilt,broke off boyfriend three years quite unexpected no particular reason break someone else
joy,son returned mountaineering healthy body soul
fear,one meets new people one forced collaborate
anger,sports fishermen catch gulls instead fish hooks often mistake makes angry
sadness,feel sad event not influence
disgust,member family complains food served disgusts
shame,not recall incident felt shame
guilt,chosen put son private school examination marks low every time gives term results left sense guilt
joy,informed accepted student psychology
fear,little fishing boat ran hard weather open sea
anger,found guy dating particular time steady relationship going someone else long time
sadness,felt sad depressed heard cat died
disgust,working nurse mental hospital patient ate contents another patient spitoon
shame,primary school vomited front others middle lesson
guilt,arrived hour late important meeting misunderstood time
joy,acceptted student psychology
fear,son pain leg no apparent reason
anger,week school teacher sent note home saying son inattentive unable lessons
sadness,thought going impossible start studying due wrong information student advisor
disgust,certain person lack cleanliness home personally
shame,made mistake accused someone else obvious third pereson
guilt,lost something valuable sister
joy,son born
fear,nearly drowned icy water wearing ice skates difficult get
anger,pointed problem child primary school mother took teacher point view
sadness,accused neglecting work wrong reasons
disgust,parents attitude towards become reconciled despite father addiction
shame,caught stealing money father
guilt,stole coconut cake reception table put mouth realized host watching
joy,months national service downgraded not remaining months
fear,reprimanded manager hotel worked autumn
anger,parents drove nearby place went home immediately instead waiting hours could easily waited
sadness,discovered certain risk pregnant
disgust,clean draining board saw looked underneath sink live students hostel
shame,mother caught masturbating
guilt,person family academics ought looked younger sister better respect education life experiences
joy,older sister told us thinking joining rest family winter sports holiday
fear,slept chapel middle night realized someeone else chapel never discovered why
anger,high school guys sometimes provoked friend mine called pig grunted irritated girls one girls got angry friend said something nasty made terribly angry
sadness,talked boyfriend phone high spirits lot tell looking forward conversation not listen extent anticipated
disgust,mother shouts child nothing
shame,complained mother untidy kitchen loooked boxed ears never happened
guilt,could not home midnight called home asked leave door open could get actually woke whole family calling late mother could not go back sleep besides conference next day really needed sleep
joy,got first day department
fear,cycling past parked car someone opened door nearly pushed off bike traffic
anger,boyfriend sat half night playing computer games friend
sadness,leave mother sister week visit
disgust,saw big spider close
shame,asked friend return money loaned remembered repayed several ways
guilt,one parents insinuates something divorced
joy,asked child godmother
fear,way ski slope difficult steep
anger,mother interfered life
sadness,left alone one without prepared
disgust,first time saw surgeon cut off leg put black rubbish bag
shame,forgot meeting work
guilt,demand much friends
joy,husband suddenly came see new job brought flowers cake
fear,nearly attackad man chasing
anger,father asked communist time made clear no longer see daughter
sadness,applied job thought good chance getting not even granted interview not get job
disgust,features showing violation defenceless people
shame,child playing doctor neighbours boys mother caught us
guilt,husband talked restrictions accept life make marriage work felt directed demanded changes marriage counsellor
joy,able afford new sofa leather one cost sek waited years
fear,vertigo standing ladder painting house
anger,boss enrolled course satisfy ends trample associates misfortune one superiors course
sadness,argue mother way treats two children differently
disgust,spit vomit
shame,spots seat covers husband car
guilt,not speaking due lack interest relationship side
joy,recently managed get first consulting assignment initiative
fear,within hair breadth knocking drunkard suddenly ran street fear came later realized could happened
anger,friend usual forgot tickets home performance missed
sadness,elections thought social democrat communist majority could achieve especially worker share funds extension
disgust,study visit chicken factory butchery smell environment noise
shame,confession parents involvement moped theft
guilt,no answer see little difference shame guilt therefore see answer shame
joy,appointed position trust group set change working environment
fear,alone cottage often stay woken rustling sound middle night
anger,tried explain plumber face face toilet broken not believe mended ten times
sadness,result project work treated nonchalantly intead criticized teacher
disgust,programmes violence pornography shown
shame,talked maliciously colleague work someone else immediately afterwards felt ashamed
guilt,decided take week holiday without consulting family first
joy,girl talked things over relationship changed became positive diificult time turned pleasant one
fear,could not land plane knew fuel running bad weather already frightened us
anger,read reagan tactical decision concerning south african boycott
sadness,half brother became seriously ill cancer died later
disgust,film woman attacked raped one not see worst desired effect strong
shame,made comment interpreted completely differently meant said realized mother understood
guilt,promised visit girlfriend different reasons could not make rang later tell could not come
joy,offered high position trust later accepted
fear,window open door shut kitten would not go partner came started talking something forgot window suddenly saw kitten hanging window frame rigid fright till got hold
anger,noisy guests arrived hotel slightly irritated earlier night trying sleep party went yelled wanted sleep get early next day
sadness,told not successful getting job expecting sure sufficiently qualified
disgust,cat vomited worm came still alive forced wipe
shame,child found taken off clothes outdoors summer friend woods felt exciting time parents discovered trousers back front felt ashamed
guilt,stole money mother asked later responsible never admitted
joy,cycling spring sunshine gives delight happiness healthy wonderful finance simply earth
fear,relationship family poor often fear excluded group fear stronger situations argument hand
anger,recently sister four years younger spoiled shouted mother no apparent reason expression mother face made feel angry
sadness,watched programme called living planet saw far reaching environmental destruction caused man
disgust,disgust feeling never experienced peoplie hand repulsive animals e snakes
shame,relatives acted strangely unfriendly towards
guilt,due hunger tiredness became generally irritated fiancee made cutting remarks really hurt later realized unfounded irritation hurt person love earth
joy,boat trip denmark us lot fun spent sek one armed bandits against odds won jackpot sek
fear,rainy day cycling downhill car door suddenly opened trying avoid back wheels bike got caught tram tracks somersaulted no injuries
anger,way home marstrand driving behind father car another car tried push front father forced swerve thus collided car pillar car drove off without even seeing happened
sadness,girlfriend spent months abroad broke off relationship letter
disgust,police centre man brought drunk likelihood not slept indoors long time relieved trousers
shame,customer shop worked came asked goods ordered arrived totally forgotten order tried offer weak excuses
guilt,years old hid bicycle keys not good friend hours pretended found
joy,party last week fun happy sang drank soft drinks possible good time without alcohol
fear,last summer walking along beach bikini awful man came cycling shouting ran fast legs could carry
anger,course thought deserved good marks got ordinary marks no justification why given marks
sadness,crashed car scrapped fault feel depressed miss car
disgust,sort stomach virus last week vomited college morning cake shop three times trip home got home
shame,evening school teacher job make coffee not able get coffee ready time thus arrived half hour late class top coffee undrinkable
guilt,many years ago friend wanted southern europe preferred travel alone felt guilty wanted go
joy,felt love returned
fear,convinced someonne broken flat woke heard sounds frightened
anger,became clear man used many people sexually psychologically despite fact many people looked understood one could not trust forced hide
sadness,feel helpless tried help someone without result
disgust,think way father behaved filing divorce
shame,year old wet school
guilt,year old stole money mother
joy,recently got positive answer clinic telling would willingly assist collect data clinical pilot study
fear,every time meet certain dog bitten
anger,lot provocation child threw plate floor
sadness,realized could not communicate properly closest friend
disgust,tried explain child why magazines wiith naked girls kiosk
shame,stole packet cigarettes neighbour next day owned returned
guilt,forced decline invitation mother birthday work committments another area
joy,began dansing teacher came told good would soon get ballet
fear,late saturday night found locked central underground station stockholm group hard rockers drunk equipped various kinds chains etc
anger,forced call telephone company bill concerning disconnected phone belonging landlord bill four months overdue meanwhile using phone seemed no intention phone reconnected
sadness,whenever read think way people treat animals nature
disgust,saw programme animals film world mistreated used
shame,years old wrote passionate love letters boyfriend later found sister read
guilt,hated one mmy flatmates nice
joy,month old son happy well
fear,four year girl ran away father straight front car forced use emergency brakes
anger,examine satisfied
sadness,colleague failed contact arranged time
disgust,read racist slogans walls
shame,sweden arms exports
guilt,not something promised
joy,gave birth healthy boy
fear,husband spent night house area outskirts large town not familiar heard strange noises outside house house glass walls whole thing even frightening
anger,jealous husband old girlfriend met husband lot reminiscing
sadness,daughter problems friends could see predicament window given cold shoulder
disgust,auxiliary nurse hospital change nappies first time old sick woman
shame,friends found lying particular occasion
guilt,middle child became difficult handle birth baby brother not patience
joy,husband decided take days holiday particularly trying period
fear,hospital visit prior d c anasthesia expected miscarriage
anger,exchange points view sister family matter
sadness,treatment become pregnant negative result
disgust,woke one morning went kitchen discovered dog diarrhoea small piles over floor smell choking
shame,young not make toilet time hid dirty trousers cellar feared itbeing discovered parents
guilt,work boy injured lack supervision
joy,gave birth child saw normal put against breast
fear,labour foetal sounds became faint big alert forceps delivery
anger,cash desk gone buy rolls kitchen paper reduced price queuing screaming children turned taken two roll packets instead one roll packet rebate applied assistant said get another time
sadness,first heard tage dannielsson died
disgust,lift stockholm central station stank vomit urine
shame,train drunk person touched baby reacted disapprovingly felt ashamed later person not aggressive though could
guilt,get irritated son screams sick over clean clothes
joy,high school entrance exam
fear,gang screaming drunk youths captured tram
anger,unjust refree decision sports event team leader
sadness,girlfriend left
disgust,dominated certain person even though knew could not change reactions
shame,given detention secondary school
guilt,splashed child not slowing driving puddle water
joy,yesterday final whistle blew final match ois ifk certain ois won swedish title
fear,teaching someone drive crash scared
anger,drummer borrowed drums destroyed drumskin sticks not repair nor tell
sadness,dad gives priority kid brother band activities play different bands rehearse parents garage
disgust,friend unjustly put blame relieve conscience spread lies purpose
shame,behaviour recent party passed early luckily
guilt,face face deceived friend sleeping wife
joy,dived among sharks brightly coloured fish outer reef tvavni fidgi
fear,missed crashing hair breadth man came metres ahead driving
anger,told off computer teacher not want teach beacause prejudice
sadness,could not anything bad back
disgust,discovered house hired tonga full cockroaches
shame,excreted mat instead potty
guilt,pulled chair someone kindergarten hit head
joy,passed driving test three weeks ago got licence
fear,car driving skidded icy road landed ditch one side against rock
joy,met friends not seen last years
fear,guy chased jogging
sadness,no reponse
anger,morning newspaper not arrived
joy,feel unbelievably happy relationship boyfriend reoccurring feeling
fear,reoccurring fear something happen relatives
anger,argue boyfriend feel though feels superior
sadness,failed exam last summer worked hard disappointed thinking hopeless continue college overreact
guilt,argue sister feels sometimes upper hand use often argue better makes terribly angry
joy,happy got attractive summer job
joy,birth child
fear,leave baby carriage go shopping fear something happen baby
anger,winter water pipes froze not water two days
sadness,not quite succeed breast feeding baby
disgust,smell garlic bus
shame,fell ground crossing street cap covered eyes felt quite difficult
guilt,old baby came university attend lectures leave baby father felt guilty
joy,christmas holidays met old friends not seen six months
fear,driving car friend mine turned wrong direction towards unknown district nearly drove precipice
anger,religion teacher presented shocking sectarian thoughts doom day official teaching
sadness,grandfather died exchange student usa
disgust,happened see movie america part one friend place
shame,insulted couple good friends mine even tried hit drunk next day ashamed course
guilt,stole carrots got caught apologize owner
joy,underground escalator youngish bum asked money although not give anything fellow told really man front turned look
fear,afraid moving away home moving helsinki studies
anger,student kitchen share somebody drank juice pot one litre got one glass whole pot
sadness,father gave money brother not
disgust,home mother fries greasy unhealthy meat dishes make feel sick
shame,wearing slippery shoes tumbled place many people walking
guilt,ate runeberg cake though knew would immediately put kilo
fear,nine went home bike dark lack time take
fear,go home foot pass forest going alone
anger,missed train wait next two hours reason missed appointment important
sadness,grandmother died lived ten years
disgust,went home train sicilia molested man
shame,lied someone time later person found not told truth
guilt,decline appointment important person reason even got trouble
joy,person bad terms gave present became reconciled
fear,friend father died come see friend although not know family
anger,watching tv friend first film wanted watch another film channel friend switched over cannel without asking wanted
sadness,seperated initiative
disgust,friend treated badly let serve provoked utilized
shame,lied person thought could not tell truth found not angry understanding talked whole thing over
guilt,told person unpleasant things bad manner depressed caused accident
joy,considered hours able overcome scruples call friend fallen love realized decision right glad
fear,slept short time woke feeling someone standing beside frightened turn light turn light several minutes able get sleep
anger,moved flat friend lived left flat terrible mess angry sloppiness impudence
sadness,father complicated operation long time long time not know would get over time felt sad
disgust,stranger insulted girl blew nose detested behaviour
shame,quite recently realized erroneous views life instance always lived people forgotten person suppressed feelings ashamed not concious conversation person
guilt,quarrel near persons said many things regretted late
joy,summer sailing friends greece felt joy
fear,riding friend car speed motorway would liked get
guilt,meeting male friend whose wife affair
joy,walking along beach friend another girl talking picking shells laughing chasing seagulls
fear,climbing mountain see view towards top suddenly came across ledge nearly sheer drop either side cross
anger,friend suggested way reason late something often late know partly true felt unjustified particular time felt could anything anyway late
sadness,talking good friend bad experience changing whole way looking life etc
disgust,came across group people basic fighting going against would say good
shame,working job could not work quickly enough told work not standard
guilt,wasted time instead something needed give friend time wasted done things not consider morally right
joy,meeting old friend mine
fear,brother late arriving home work
anger,fight best friend
sadness,dog died
disgust,movie saw effect white settlers africa
shame,got bad result one assignments
guilt,leaving friend mine alone dance felt kept company
joy,realised forgiven god realised much god loves acceptance not based performance loves unconditionally showed love christ died need forgiveness
fear,fear paralysing would not accepted god believed morally bankrupt becoming christian realising why christ came free us sin forgive us
anger,father treatment mother disregard not committed
sadness,lack love father mum sadness anyone else not realise much love happiness could much damaging apart mum
disgust,capable selfishly using others sexual encounters held vision deepening know girl next door devotion girl head drives actions not match consequently felt disgusted failure
shame,using people sexual experience using another detriment anxiety may affected another worst
guilt,guilt not living moral expectation guilt not type person patents wanted guilt bloody everything realising failed drastically eyes
fear,absailing felt ok suddenly going over cliff hit fear could go absailing cliff actually hauled back
anger,told boy friend not park certain place car would ger towed away listen towed away stage finances poverty line cost us money get us week including rent
sadness,sister won scholarship norway particularly walked across tarmac get plane looked back us
disgust,work customer spoke loudly indian man white woman children horrible would want little dark children
shame,mother told uncle roman catholic priest redemptist father living relationship three years angry
guilt,snapped abruptly mother said something silly stupid front people looked defenceless hurt told always
joy,received wedding invitation enclosed small note overcame lot differences arisen us due circumstances left flat
fear,one afternoon helping home property mustering getting cattle bull turned came
anger,getting terrible exam mark could understand reason trying see lecturer tutor given runaround
sadness,watching old lady running street catch bus miss reminded mother dreadful would situation
disgust,coming home one night sister home drinking heavily started picking arguments
fear,travelling car meet oncoming car overtaking
anger,close relative treated badly
sadness,close friend died
disgust,saw starving people ethiopia felt awful see suffering
guilt,mistake occurred work not responsible disclosed later
joy,called boyfriend asked would live
fear,last summer italy attacked terrible feel untidy dirty dog against naked skin
anger,father new fiancee treats like child not trust constantly misunderstands get particularly angry says nasty things boyfriend works
sadness,guy love told met someone else would not meet year although not steady relatioship affair
joy,love guy returned
fear,think death not parents brothers sisters
anger,parents not approve choice boyfriend happened years older considered completely unsuitable idiot
disgust,uncle comes times year traditional christmas dinner grandparents relatives drunk
guilt,living home summer vacations towards end decided take clothes belongings appartment guttenburg finished went relationship uncertain home stayed till leave parents needed car work morning parents not like boyfriend
joy,met present boyfriend boat trip england said would call got back sweden not going town england soon walked called england could not wait till came home
fear,mother heart nearly stopped
anger,sofa flat belonged old tenants acquaintances picked year ago postponed eventually decided one date stayed home despite fact things not come nor call still not got touch
sadness,separated
disgust,intoxicated men incite fight met vile smelling man tram got closer closer till got got angry
shame,not remember situation kind
guilt,nephew asked tell story simply not energy saw disappointment terribly guilty read story
joy,fell love
fear,earlier afraid speaking front crowd people
anger,girl went off another guy
disgust,worked harbour emptied latrine containers back lorries
shame,day night drank much party
guilt,not think anything
joy,accepted student psychology gutttenburg
fear,woke middle night jumped shouted fear thought someone cold hand something similar touched hand crept covers went back sleep
disgust,young teenager made heavy advances not understand well reacted strongly feelings still
guilt,broke off partner wanted friend not lover reacted violently felt guilty made desperately unhappy
joy,made dinner friends appreciated much
fear,nearly knocked cycling
anger,father argument not help enough home
disgust,intercourse someone realized done wrong disgusted
shame,not know
guilt,said nasty things not mean friend
joy,intercourse
fear,disappointment over friend
anger,quarrelled younger brother
sadness,woke nightmare
disgust,helping older people toilet
shame,not think anything
guilt,squeezed puppy door
joy,notified accepted psychology student
fear,motor failure boat outside gottenburg heavy seas wind strong could not steer boat drifted towards rocks not succeed attracting attention passerby hours elapsed
anger,lady live not bothered clean went holiday live collective
sadness,heard good friend committed suicide
disgust,present found dead shop shot shotgun close range
shame,not remember last felf ashamed not usually feel ashamed
guilt,mother accused not visiting enough hospital eye operation
joy,made debut ullevi against ifk gottenburg got good write paper
fear,years old woke one night found alone home mother gone buy cigarattes machine
sadness,found failed pass exams term one point fact exactly thing happened last term not help
disgust,touring asia present football team saw old europeans young asiatic prostitutes
joy,evening class teacher got positive feedback atmosphere good kind relaxed understanding exists
fear,mischieviously ringing chemist doorbell getting caught
anger,sight man ran amok fighting dance
sadness,work
disgust,mouth full bun drank directly packet milk turned weeks old completely separated took milk seep bun
